image,label
Bernese_mountain_dog-n02107683_4576.jpg,5
Irish_wolfhound-n02090721_1452.jpg,9
Great_Pyrenees-n02111500_9423.jpg,8
Airedale-n02096051_7140.jpg,1
basenji-n02110806_1637.jpg,3
Lakeland_terrier-n02095570_471.jpg,10
Samoyed-n02111889_6811.jpg,17
Airedale-n02096051_3287.jpg,1
Norwegian_elkhound-n02091467_780.jpg,13
Great_Pyrenees-n02111500_26.jpg,8
Samoyed-jpg_57.jpg,17
Airedale-n02096051_2380.jpg,1
Bernese_mountain_dog-n02107683_4885.jpg,5
Norwegian_elkhound-jpg_81.jpg,13
Australian_terrier-n02096294_3137.jpg,2
cairn-n02096177_4420.jpg,6
Scottish_deerhound-n02092002_5960.jpg,18
Pomeranian-jpg_54.jpg,14
Maltese_dog-jpg_79.jpg,12
Lakeland_terrier-n02095570_3493.jpg,10
Pomeranian-n02112018_1621.jpg,14
EntleBucher-n02108000_487.jpg,7
Irish_wolfhound-n02090721_5914.jpg,9
papillon-n02086910_2454.jpg,19
Irish_wolfhound-n02090721_3999.jpg,9
Pomeranian-n02112018_3126.jpg,14
beagle-n02088364_16519.jpg,4
beagle-n02088364_5716.jpg,4
basenji-n02110806_1100.jpg,3
Bernese_mountain_dog-n02107683_71.jpg,5
Lakeland_terrier-n02095570_5159.jpg,10
Lakeland_terrier-n02095570_3323.jpg,10
Bernese_mountain_dog-jpg_71.jpg,5
Airedale-jpg_79.jpg,1
Lakeland_terrier-n02095570_687.jpg,10
Great_Pyrenees-n02111500_2051.jpg,8
Maltese_dog-n02085936_19805.jpg,12
EntleBucher-n02108000_1291.jpg,7
pug-n02110958_15120.jpg,15
Great_Pyrenees-jpg_8.jpg,8
beagle-n02088364_16060.jpg,4
cairn-jpg_38.jpg,6
Australian_terrier-jpg_18.jpg,2
beagle-jpg_47.jpg,4
papillon-n02086910_6305.jpg,19
papillon-n02086910_3136.jpg,19
papillon-jpg_25.jpg,19
EntleBucher-n02108000_2599.jpg,7
Great_Pyrenees-n02111500_409.jpg,8
Norwegian_elkhound-jpg_97.jpg,13
Leonberg-jpg_47.jpg,11
Norwegian_elkhound-n02091467_2503.jpg,13
Leonberg-jpg_86.jpg,11
cairn-n02096177_475.jpg,6
basenji-n02110806_3056.jpg,3
Airedale-n02096051_2314.jpg,1
Maltese_dog-n02085936_8900.jpg,12
Great_Pyrenees-n02111500_3333.jpg,8
Afghan_hound-n02088094_4521.jpg,0
cairn-jpg_61.jpg,6
Afghan_hound-n02088094_4598.jpg,0
pug-n02110958_12761.jpg,15
Great_Pyrenees-n02111500_855.jpg,8
Bernese_mountain_dog-n02107683_1737.jpg,5
Pomeranian-n02112018_4373.jpg,14
beagle-n02088364_15093.jpg,4
basenji-n02110806_4012.jpg,3
Afghan_hound-n02088094_11953.jpg,0
Samoyed-n02111889_5474.jpg,17
Australian_terrier-n02096294_6450.jpg,2
Pomeranian-jpg_14.jpg,14
